Frame,Inference_Time_ms,FPS_Instant,Players_Visible,Ball_Visible
0,6134.215,0.16302004412952595,19,1
1,1800.6409999999998,0.5553577864771491,15,0
2,1021.0999999999999,0.9793360101850946,17,1
3,1018.0389999999999,0.9822806395432789,14,0
4,1051.617,0.9509165409079542,14,0
5,1580.638,0.632655927543182,15,0
6,1468.815,0.680820933882075,16,0
7,1059.22,0.9440909348388437,15,0
8,1031.6940000000002,0.9692796507491561,18,0
9,1017.336,0.9829594155716499,15,0
10,1401.95,0.7132922001497913,15,0
11,1013.609,0.9865737182680895,15,0
12,1019.3509999999999,0.9810163525615809,16,0
13,1008.276,0.9917919299874242,16,0
14,1018.9060000000001,0.9814448045256382,16,0
15,1112.8880000000001,0.8985630180215798,16,0
16,1584.454,0.6311322386134277,16,0
17,1380.8780000000002,0.7241769367025905,16,0
18,1019.6750000000001,0.980704636281168,16,0
19,1024.478,0.9761068563697805,16,0
20,1022.384,0.9781060736474749,16,0
21,1004.5699999999999,0.9954507898902019,16,0
22,993.11,1.0069378014520043,16,0
23,1001.9800000000001,0.998023912652947,16,0
24,1028.058,0.9727077655151752,17,0
25,1012.8090000000001,0.9873529954808853,17,0
26,1008.297,0.9917712737417645,17,0
27,1537.133,0.6505617926360309,16,0
28,1502.2009999999998,0.6656898777194264,17,0
29,1000.524,0.9994762744321976,15,0
30,1007.3760000000001,0.9926780070202188,15,0
31,989.5899999999999,1.0105195080791036,16,0
32,1014.845,0.9853721504269125,15,0
33,1002.5939999999999,0.9974127114265595,16,0
34,1019.337,0.9810298262498075,16,0
35,999.269,1.0007315347519037,15,0
36,1007.2289999999999,0.9928228833760744,15,0
37,1031.358,0.9695954266122918,17,0
38,1387.683,0.7206256760369624,16,0
39,1558.305,0.641722897635572,17,0
40,1059.9019999999998,0.943483454130665,18,0
41,1000.4200000000001,0.999580176325943,18,0
42,1007.374,0.9926799778433829,17,0
43,989.641,1.0104674321294287,18,0
44,1012.886,0.9872779365101305,17,0
45,1006.1340000000001,0.9939033965654673,17,0
46,1007.9279999999999,0.9921343588034067,16,0
47,1006.3279999999999,0.9937117917816062,17,0
48,1013.2669999999999,0.9869067086957337,18,0
49,1197.872,0.8348137363591435,19,0
50,1621.5790000000002,0.616682875148235,18,0
51,1206.519,0.82883071049855,17,0
52,1025.3239999999998,0.9753014656830428,18,0
53,1007.071,0.9929786479801325,18,0
54,1019.039,0.981316711136669,18,0
55,989.187,1.010931199055386,18,0
56,1013.482,0.9866973463761567,18,0
57,1000.3280000000001,0.9996721075487239,18,0
58,1006.6370000000001,0.9934067593382718,18,0
59,1000.3230000000001,0.9996771042953125,18,0
60,1069.855,0.9347061050329251,18,0
61,1585.928,0.6305456489828037,20,0
62,1374.636,0.7274653071795006,18,0
63,1037.4,0.9639483323693849,18,0
64,1331.528,0.7510168768512566,18,0
65,1440.595,0.6941576223713118,17,0
66,1150.323,0.8693210515655168,17,0
67,1060.177,0.9432387233452528,18,0
